作品,作品积分,年,月
星系寒烟,21211,2008,7
红尘有我,130403,2008,7
水木莲华,21200,2008,7
暗紅凝脂,169577,2008,8
紫竹,112164,2008,8
怒血狂歌,136524,2008,8
血色残阳,126820,2008,8
叹息,150686,2008,8
我有一个梦想,20751,2008,8
恶魔城殇,26854,2008,8
圣人异世游,20267,2008,8
魅倾,21934,2008,8
任平生,166315,2008,8
yn,40383,2008,8
寒,96472,2008,8
我是你的曾经,20314,2008,8
初阳,21372,2008,8
于左飞扬,59571,2008,9
月落无声胜有声,24431,2008,9
天下大同,154019,2008,9
怔仲之间,49799,2008,10
机关算尽,70500,2008,10
浪淘沙,29690,2008,10
煞 情,173073,2008,11
大陈宫影,45939,2008,11
蓠草耽歌(前传),130040,2008,11
怀袖,97997,2008,11
半米晨光,187445,2008,11
寒食,39983,2008,12
火并（暂坑）,43973,2008,5
反而更难,22286,2008,8
琅,16400,2008,8
子衿·怀旧,133611,2008,2
不能相信的爱,72628,2008,2
无需甜，丝如蜜,20400,2008,2
末世之又见炊烟起,16400,2008,3
她有星辰,16584,2008,4
夜星火（重写）,93452,2008,4
他真的是？,23946,2008,5
专属之恋,21795,2008,5
煌梦,23261,2008,5
我不在意,17981,2008,5
梦殇,71775,2008,5
lovers' prattle,16408,2008,5
Because of you,30996,2008,5
冥夜,16922,2008,5
弃暗,16402,2008,6
泪会随风飘向海,44446,2008,6
风尘莫叹,18467,2008,6
言爱,129439,2008,6
无所谓,173350,2008,6
左手边的你,34282,2008,6
春望,41919,2008,6
单行道,71404,2008,6
无所谓,58278,2008,6
扯不断理还乱,26104,2008,6
桃花难躲,16400,2008,6
血夜魔殇 第一部 阎王七子,17503,2008,6
独上高楼,17003,2008,6
神隐,22725,2008,6
京华烟梦,105672,2008,6
烈爱2008,23602,2008,7
沉船,126863,2008,7
桃花劫,49347,2008,7
7 days,26054,2008,7
那又怎样,28234,2008,7
皇家爱情,16414,2008,7
叮叮咚咚我的爱,16425,2008,7
天使之路,84320,2008,7
涡轮,75255,2008,7
忧伤并排走,36227,2008,7
混淆,103725,2008,7
爱情扬帆起航,20098,2008,7
六层楼,56698,2008,7
hs羽翼,17802,2008,7
那年花开,47461,2008,7
噬血独舞(古)奇幻、武侠,24439,2008,7
毕业不分手,16542,2008,7
迷迭香,56282,2008,7
痴人亦嫣然,48151,2008,7
黑色布朗尼,70947,2008,7
无言的浪漫曲,51254,2008,8
碎花梦,28508,2008,8
Candyfloss日记本,30325,2008,8
♣ Spade,16856,2008,8
美型限定,22896,2008,8
落花成冢日,73271,2008,8
上沉,31050,2008,9
不知道,18687,2008,10
亲亲寶贝A计划,20541,2008,10
预言,57013,2008,10
茫茫人海,24240,2008,10
岘陌亦清,40543,2008,11
殇云,27593,2008,11
离焰,51520,2008,12
凤凰图腾,908153728,2009,4
景帝纪事之盛世繁华,218955104,2009,1
诡案追踪,36492632,2009,2
好木望天,335670496,2009,6
凤凰纹之异世安生,117572112,2009,12
夜色边缘,345652704,2009,12
都市祭灵师,103345224,2009,12
帝心难测,21503392,2009,7
绝代双骄之怜星,82412880,2009,12
战七国,699837696,2009,11
(HP)至高，无上，黑魔王！,64250884,2009,1
殿上禽兽,195731968,2009,6
狐嫁,76493920,2009,11
异世兽颜,62279656,2009,12
